subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,0.5253,1,5,2,1,1,0,1,AT,1
1,0.57148,1,5,2,1,2,1,1,AT,2
1,0.58355,1,2,2,1,1,0,1,T,1
1,0.50351,1,3,2,1,1,0,1,AT,1
1,0.51179,1,1,2,1,1,0,1,A,1
1,0.58199,1,4,2,1,1,0,1,AT,1
1,0.60991,1,2,2,1,2,1,1,T,2
1,0.62575,1,1,2,1,2,1,1,A,2
1,0.73964,1,1,2,1,1,0,1,A,1
1,0.58504,1,4,2,1,2,1,1,AT,2
1,0.617,1,4,2,1,1,0,1,AT,1
1,0.82487,1,2,2,1,1,0,1,T,1
1,0.57405,1,1,2,1,2,1,1,A,2
1,0.58197,1,5,2,1,1,0,1,AT,1
1,0.78785,1,5,2,1,2,1,1,AT,2
1,0.77921,0,2,2,1,2,1,1,T,1
1,1.1385,1,3,2,1,2,1,1,AT,2
1,0.71463,1,3,2,1,1,0,1,AT,1
1,0.68512,1,5,2,1,1,0,1,AT,1
1,1.1208,1,1,2,1,1,0,1,A,1
1,1.6749,1,4,2,1,1,0,1,AT,1
1,0.7593,0,1,2,1,2,1,1,A,1
1,0.76267,0,3,2,1,1,0,1,AT,2
1,0.75597,1,2,2,1,2,1,1,T,2
1,0.64734,1,4,2,1,2,1,1,AT,2
1,0.92911,1,5,2,1,2,1,1,AT,2
1,0.78595,0,2,2,1,1,0,1,T,2
1,0.63709,1,3,2,1,2,1,1,AT,2
1,1.0189,1,4,2,1,2,1,1,AT,2
1,0.74741,1,3,2,1,2,1,1,AT,2
1,0.58688,1,5,2,1,2,1,1,AT,2
1,0.65083,1,1,2,1,1,0,1,A,1
1,0.80664,1,2,2,1,1,0,1,T,1
1,0.99385,1,1,2,1,2,1,1,A,2
1,0.74843,1,2,2,1,2,1,1,T,2
1,0.93781,1,3,2,1,1,0,1,AT,1
1,1.0486,1,4,2,1,1,0,1,AT,1
1,1.523,0,5,2,1,1,0,1,AT,2
1,0.55578,1,2,2,1,2,1,1,T,2
1,0.54584,1,4,2,1,2,1,1,AT,2
1,0.50599,1,5,2,1,2,1,1,AT,2
1,0.46623,1,3,2,1,2,1,1,AT,2
1,0.41043,0,1,2,1,2,1,1,A,1
1,0.53276,1,5,2,1,1,0,1,AT,1
1,0.50297,1,4,2,1,1,0,1,AT,1
1,0.40106,1,2,2,1,1,0,1,T,1
1,0.41524,1,3,2,1,1,0,1,AT,1
1,0.38949,1,1,2,1,1,0,1,A,1
1,0.41372,1,3,2,1,1,0,1,AT,1
1,0.50198,1,4,2,1,2,1,1,AT,2
1,0.46819,1,5,2,1,2,1,1,AT,2
1,0.76446,1,5,2,1,1,0,1,AT,1
1,0.44186,1,1,2,1,1,0,1,A,1
1,0.51208,0,1,2,1,2,1,1,A,1
1,0.3903,1,4,2,1,1,0,1,AT,1
1,0.47261,1,3,2,1,2,1,1,AT,2
1,0.46282,1,2,2,1,2,1,1,T,2
1,0.55906,1,2,2,1,1,0,1,T,1
1,0.64625,1,2,2,1,2,1,1,T,2
1,0.64797,0,4,2,1,2,1,1,AT,1
1,0.46772,1,3,2,1,2,1,1,AT,2
1,0.524,1,5,2,1,1,0,1,AT,1
1,0.44016,1,1,2,1,1,0,1,A,1
1,0.46443,1,2,2,1,1,0,1,T,1
1,0.48664,1,4,2,1,1,0,1,AT,1
1,0.49493,1,1,2,1,2,1,1,A,2
1,1.2152,1,5,2,1,2,1,1,AT,2
1,0.74301,1,3,2,1,1,0,1,AT,1
1,0.92045,1,2,2,1,2,1,1,T,2
1,0.8033,1,1,2,1,2,1,1,A,2
1,0.59056,1,4,2,1,1,0,1,AT,1
